example_id                                                            | status  | run_time        |
./spec/models/post_spec.rb[1:2:3:1:3]                                 | passed  | 0.06909 seconds |
./spec/models/post_spec.rb[1:2:3:2:1]                                 | passed  | 0.07003 seconds |
./spec/models/post_spec.rb[1:2:3:2:2]                                 | passed  | 0.08183 seconds |
./spec/models/post_spec.rb[1:2:3:2:3]                                 | passed  | 0.07564 seconds |
./spec/models/post_spec.rb[1:2:3:2:4]                                 | passed  | 0.07588 seconds |
./spec/models/post_spec.rb[1:2:3:2:5]                                 | passed  | 0.07615 seconds |
./spec/models/user_spec.rb[1:1:1:1]                                   | passed  | 0.03281 seconds |
./spec/models/user_spec.rb[1:1:1:2]                                   | passed  | 0.02153 seconds |
./spec/models/user_spec.rb[1:1:1:3]                                   | passed  | 0.03145 seconds |
./spec/models/user_spec.rb[1:1:2:1]                                   | passed  | 0.03376 seconds |
./spec/models/user_spec.rb[1:2:1]                                     | passed  | 0.06627 seconds |
./spec/models/user_spec.rb[1:2:2]                                     | passed  | 0.04737 seconds |
./spec/models/user_spec.rb[1:2:3]                                     | passed  | 0.04361 seconds |
./spec/models/user_spec.rb[1:3:1]                                     | passed  | 0.06149 seconds |
./spec/models/user_spec.rb[1:3:2]                                     | passed  | 0.05106 seconds |
./spec/models/user_spec.rb[1:3:3]                                     | passed  | 0.05859 seconds |
./spec/models/user_spec.rb[1:3:4:1]                                   | passed  | 0.05826 seconds |
./spec/models/user_spec.rb[1:3:4:2:1]                                 | passed  | 0.07155 seconds |
